Name,Description,all_houston_zips,AREALAND_ZCTA5_20,AREAWATER_ZCTA5_20,pop_2020,aland_acre,awater_acre,total_area,total_area_acre
<at><openparen>77002<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77002</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77002</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77002</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77002</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>5101447</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>114561</td> </tr></table></center>",77002,5101447,114561,"19844",1260.55028416111,28.3076352853966,5216008,1288.8579194465
<at><openparen>77003<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77003</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77003</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77003</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77003</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>7080393</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>86240</td> </tr></table></center>",77003,7080393,86240,"11874",1749.54114158636,21.3096120583148,7166633,1770.85075364468
<at><openparen>77004<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77004</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77004</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77004</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77004</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>13574107</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>63296</td> </tr></table></center>",77004,13574107,63296,"37005",3354.11588831233,15.6402273288856,13637403,3369.75611564122
<at><openparen>77005<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77005</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77005</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77005</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77005</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>9914812</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>720</td> </tr></table></center>",77005,9914812,720,"28241",2449.91648134421,0.177909562638992,9915532,2450.09439090684
<at><openparen>77006<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77006</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77006</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77006</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77006</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>5932367</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>0</td> </tr></table></center>",77006,5932367,0,"24129",1465.86780331109,0,5932367,1465.86780331109
<at><openparen>77007<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77007</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77007</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77007</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77007</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>19443074</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>221212</td> </tr></table></center>",77007,19443074,221212,"42908",4804.3177662466,54.660736347912,19664286,4858.97850259451
<at><openparen>77008<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77008</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77008</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77008</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77008</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>16784687</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>70549</td> </tr></table></center>",77008,16784687,70549,"36631",4147.43933778107,17.4324190758587,16855236,4164.87175685693
<at><openparen>77009<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77009</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77009</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77009</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77009</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>16046120</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>21754</td> </tr></table></center>",77009,16046120,21754,"36425",3964.94193229553,5.37533975784532,16067874,3970.31727205337
<at><openparen>77010<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77010</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77010</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77010</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77010</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>309333</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>0</td> </tr></table></center>",77010,309333,0,"883",76.4351371386212,0,309333,76.4351371386212
<at><openparen>77011<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77011</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77011</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77011</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77011</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>8832833</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>400260</td> </tr></table></center>",77011,8832833,400260,"16841",2182.56313318508,98.9028910303929,9233093,2281.46602421547
<at><openparen>77012<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77012</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77012</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77012</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77012</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>10183964</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>810501</td> </tr></table></center>",77012,10183964,810501,"18397",2516.4230294045,200.272053372869,10994465,2716.69508277737
<at><openparen>77013<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77013</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77013</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77013</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77013</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>24564994</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>193468</td> </tr></table></center>",77013,24564994,193468,"16815",6069.92685940203,47.8052878675562,24758462,6117.73214726958
<at><openparen>77014<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77014</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77014</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77014</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77014</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>18582699</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>29539</td> </tr></table></center>",77014,18582699,29539,"35161",4591.72201630838,7.29898690387942,18612238,4599.02100321226
<at><openparen>77015<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77015</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77015</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77015</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77015</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>53487053</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>5193097</td> </tr></table></center>",77015,53487053,5193097,"57106",13216.4697306647,1283.19668890536,58680150,14499.6664195701
<at><openparen>77016<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77016</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77016</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77016</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77016</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>25664998</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>114515</td> </tr></table></center>",77016,25664998,114515,"29966",6341.7341240425,28.2962688411169,25779513,6370.03039288362
<at><openparen>77017<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77017</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77017</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77017</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77017</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>24792377</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>1088249</td> </tr></table></center>",77017,24792377,1088249,"31659",6126.11242895972,268.902643933778,25880626,6395.0150728935
<at><openparen>77018<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77018</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77018</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77018</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77018</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>17527254</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>39114</td> </tr></table></center>",77018,17527254,39114,"27870",4330.92512972572,9.66493699036323,17566368,4340.59006671609
<at><openparen>77019<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77019</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77019</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77019</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77019</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>9596265</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>132078</td> </tr></table></center>",77019,9596265,132078,"24136",2371.20459599703,32.6360266864344,9728343,2403.84062268347
<at><openparen>77020<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77020</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77020</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77020</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77020</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>20226280</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>751424</td> </tr></table></center>",77020,20226280,751424,"24846",4997.84531751915,185.674326661725,20977704,5183.51964418087
<at><openparen>77021<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77021</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77021</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77021</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77021</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>15738375</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>65109</td> </tr></table></center>",77021,15738375,65109,"28055",3888.89918458117,16.0882134914752,15803484,3904.98739807265
<at><openparen>77022<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77022</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77022</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77022</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77022</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>15128810</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>1147</td> </tr></table></center>",77022,15128810,1147,"28748",3738.27773659501,0.283419817148505,15129957,3738.56115641216
<at><openparen>77023<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77023</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77023</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77023</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77023</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>14159580</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>233418</td> </tr></table></center>",77023,14159580,233418,"26780",3498.7842846553,57.6767976278725,14392998,3556.46108228317
<at><openparen>77024<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77024</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77024</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77024</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77024</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>33594314</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>88945</td> </tr></table></center>",77024,33594314,88945,"39565",8301.04126513467,21.9780084012849,33683259,8323.01927353595
<at><openparen>77025<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77025</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77025</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77025</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77025</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>11557391</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>89314</td> </tr></table></center>",77025,11557391,89314,"28510",2855.79219174697,22.0691870521374,11646705,2877.86137879911
<at><openparen>77026<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77026</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77026</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77026</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77026</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>16992291</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>1056</td> </tr></table></center>",77026,16992291,1056,"23405",4198.73758339511,0.260934025203855,16993347,4198.99851742031
<at><openparen>77027<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77027</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77027</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77027</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77027</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>6899514</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>11567</td> </tr></table></center>",77027,6899514,11567,"18987",1704.84655300222,2.85816654311836,6911081,1707.70471954534
<at><openparen>77028<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77028</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77028</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77028</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77028</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>23594391</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>20809</td> </tr></table></center>",77028,23594391,20809,"18701",5830.09414381023,5.14183345688164,23615200,5835.23597726711
<at><openparen>77029<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77029</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77029</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77029</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77029</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>27495741</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>700870</td> </tr></table></center>",77029,27495741,700870,"17044",6794.10452186805,173.18260439832,28196611,6967.28712626637
<at><openparen>77030<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77030</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77030</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77030</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77030</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>6684885</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>129898</td> </tr></table></center>",77030,6684885,129898,"13221",1651.81245366938,32.0973560662219,6814783,1683.90980973561
<at><openparen>77031<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77031</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77031</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77031</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77031</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>8175764</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>18564</td> </tr></table></center>",77031,8175764,18564,"15678",2020.20360761058,4.58710155670867,8194328,2024.79070916728
<at><openparen>77032<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77032</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77032</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77032</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77032</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>59820859</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>84806</td> </tr></table></center>",77032,59820859,84806,"13497",14781.531751915,20.9552755127255,59905665,14802.4870274277
<at><openparen>77033<closeparen>,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>ZCTA5CE20</th> <td>77033</td> </tr><tr bgcolor=""""> <th>AFFGEOID20</th> <td>860Z200US77033</td> </tr><tr bgcolor=""#E3E3F3""> <th>GEOID20</th> <td>77033</td> </tr><tr bgcolor=""""> <th>NAME20</th> <td>77033</td> </tr><tr bgcolor=""#E3E3F3""> <th>LSAD20</th> <td>Z5</td> </tr><tr bgcolor=""""> <th>ALAND20</th> <td>14785836</td> </tr><tr bgcolor=""#E3E3F3""> <th>AWATER20</th> <td>26261</td> </tr></table></center>",77033,14785836,26261,"28369",3653.5300222387,6.48900420064245,14812097,3660.01902643934
